Welcome
SampleRate (Hz): Base: A0 0 27.5Hz, to A0, 4096Hz 0x1000
Base: A♯2 25 116.541Hz, to D4, 10321.3Hz 0x2851
Base: A♯2 25 116.541Hz, to D♯4, 10935Hz 0x2ab7
Base: A♯2 25 116.541Hz, to E4, 11585.2Hz 0x2d41
Base: A♯2 25 116.541Hz, to F4, 12274.1Hz 0x2ff2
Base: A♯2 25 116.541Hz, to F♯4, 13004Hz 0x32cc
Base: A♯2 25 116.541Hz, to G4, 13777.2Hz 0x35d1
Base: A♯2 25 116.541Hz, to G♯4, 14596.5Hz 0x3904
Base: A♯2 25 116.541Hz, to A4, 15464.4Hz 0x3c68
Base: A♯2 25 116.541Hz, to A♯4, 16384Hz 0x3fff
Base: B2 26 123.471Hz, to A0, 912.279Hz 0x390
Base: B2 26 123.471Hz, to A♯0, 966.525Hz 0x3c7
Base: B2 26 123.471Hz, to B0, 1024Hz 0x400
Base: B2 26 123.471Hz, to C1, 1084.89Hz 0x43d
Base: B2 26 123.471Hz, to C♯1, 1149.4Hz 0x47d
Base: B2 26 123.471Hz, to D1, 1217.75Hz 0x4c2
Base: B2 26 123.471Hz, to D♯1, 1290.16Hz 0x50a
Base: B2 26 123.471Hz, to E1, 1366.87Hz 0x557
Base: B2 26 123.471Hz, to F1, 1448.15Hz 0x5a8
Base: B2 26 123.471Hz, to F♯1, 1534.26Hz 0x5fe
Base: B2 26 123.471Hz, to G1, 1625.5Hz 0x659
Base: B2 26 123.471Hz, to G♯1, 1722.15Hz 0x6ba
Base: B2 26 123.471Hz, to A1, 1824.56Hz 0x721
Base: B2 26 123.471Hz, to A♯1, 1933.05Hz 0x78d
Base: B2 26 123.471Hz, to B1, 2048Hz 0x800
Base: B2 26 123.471Hz, to C2, 2169.78Hz 0x87a
Base: B2 26 123.471Hz, to C♯2, 2298.8Hz 0x8fb
Base: B2 26 123.471Hz, to D2, 2435.49Hz 0x983
Base: B2 26 123.471Hz, to D♯2, 2580.31Hz 0xa14
Base: B2 26 123.471Hz, to E2, 2733.75Hz 0xaae
Base: B2 26 123.471Hz, to F2, 2896.31Hz 0xb50
Base: B2 26 123.471Hz, to F♯2, 3068.53Hz 0xbfd
Base: B2 26 123.471Hz, to G2, 3250.99Hz 0xcb3
Base: B2 26 123.471Hz, to G♯2, 3444.3Hz 0xd74
Base: B2 26 123.471Hz, to A2, 3649.12Hz 0xe41
Base: B2 26 123.471Hz, to A♯2, 3866.11Hz 0xf1a
Base: B2 26 123.471Hz, to B2, 4096Hz 0x1000
Base: B2 26 123.471Hz, to C3, 4339.56Hz 0x10f4
Base: B2 26 123.471Hz, to C♯3, 4597.59Hz 0x11f6
Base: B2 26 123.471Hz, to D3, 4870.97Hz 0x1307
Base: B2 26 123.471Hz, to D♯3, 5160.61Hz 0x1429
Base: B2 26 123.471Hz, to E3, 5467.5Hz 0x155c
Base: B2 26 123.471Hz, to F3, 5792.61Hz 0x16a1
Base: B2 26 123.471Hz, to F♯3, 6137.05Hz 0x17f9
Base: B2 26 123.471Hz, to G3, 6501.99Hz 0x1966
Base: B2 26 123.471Hz, to G♯3, 6888.6Hz 0x1ae9
Base: B2 26 123.471Hz, to A3, 7298.23Hz 0x1c82
Base: B2 26 123.471Hz, to A♯3, 7732.21Hz 0x1e34
Base: B2 26 123.471Hz, to B3, 8192Hz 0x2000
Base: B2 26 123.471Hz, to C4, 8679.12Hz 0x21e7
Base: B2 26 123.471Hz, to C♯4, 9195.21Hz 0x23eb
Base: B2 26 123.471Hz, to D4, 9741.98Hz 0x260e
Base: B2 26 123.471Hz, to D♯4, 10321.3Hz 0x2851
Base: B2 26 123.471Hz, to E4, 10935Hz 0x2ab7
Base: B2 26 123.471Hz, to F4, 11585.2Hz 0x2d41
Base: B2 26 123.471Hz, to F♯4, 12274.1Hz 0x2ff2
Base: B2 26 123.471Hz, to G4, 13004Hz 0x32cc
Base: B2 26 123.471Hz, to G♯4, 13777.2Hz 0x35d1
Base: B2 26 123.471Hz, to A4, 14596.5Hz 0x3904
Base: B2 26 123.471Hz, to A♯4, 15464.4Hz 0x3c68
Base: B2 26 123.471Hz, to B4, 16384Hz 0x3fff
Base: C3 27 130.813Hz, to A0, 861.076Hz 0x35d
Base: C3 27 130.813Hz, to A♯0, 912.278Hz 0x390
Base: C3 27 130.813Hz, to B0, 966.526Hz 0x3c7
Base: C3 27 130.813Hz, to C1, 1024Hz 0x400
Base: C3 27 130.813Hz, to C♯1, 1084.89Hz 0x43d
Base: C3 27 130.813Hz, to D1, 1149.4Hz 0x47d
Base: C3 27 130.813Hz, to D♯1, 1217.75Hz 0x4c2
Base: C3 27 130.813Hz, to E1, 1290.16Hz 0x50a
Base: C3 27 130.813Hz, to F1, 1366.87Hz 0x557
Base: C3 27 130.813Hz, to F♯1, 1448.15Hz 0x5a8
Base: C3 27 130.813Hz, to G1, 1534.26Hz 0x5fe
Base: C3 27 130.813Hz, to G♯1, 1625.5Hz 0x659
Base: C3 27 130.813Hz, to A1, 1722.15Hz 0x6ba
Base: C3 27 130.813Hz, to A♯1, 1824.56Hz 0x721
Base: C3 27 130.813Hz, to B1, 1933.05Hz 0x78d
Base: C3 27 130.813Hz, to C2, 2048Hz 0x800
Base: C3 27 130.813Hz, to C♯2, 2169.78Hz 0x87a
Base: C3 27 130.813Hz, to D2, 2298.8Hz 0x8fb
Base: C3 27 130.813Hz, to D♯2, 2435.49Hz 0x983
Base: C3 27 130.813Hz, to E2, 2580.31Hz 0xa14
Base: C3 27 130.813Hz, to F2, 2733.75Hz 0xaae
Base: C3 27 130.813Hz, to F♯2, 2896.3Hz 0xb50
Base: C3 27 130.813Hz, to G2, 3068.53Hz 0xbfd
Base: C3 27 130.813Hz, to G♯2, 3250.99Hz 0xcb3
Base: C3 27 130.813Hz, to A2, 3444.31Hz 0xd74
Base: C3 27 130.813Hz, to A♯2, 3649.12Hz 0xe41
Base: C3 27 130.813Hz, to B2, 3866.11Hz 0xf1a
Base: C3 27 130.813Hz, to C3, 4096Hz 0x1000
Base: C3 27 130.813Hz, to C♯3, 4339.54Hz 0x10f4
Base: C3 27 130.813Hz, to D3, 4597.58Hz 0x11f6
Base: C3 27 130.813Hz, to D♯3, 4870.97Hz 0x1307
Base: C3 27 130.813Hz, to E3, 5160.63Hz 0x1429
Base: C3 27 130.813Hz, to F3, 5467.49Hz 0x155b
Base: C3 27 130.813Hz, to F♯3, 5792.6Hz 0x16a1
Base: C3 27 130.813Hz, to G3, 6137.06Hz 0x17f9
Base: C3 27 130.813Hz, to G♯3, 6501.97Hz 0x1966
Base: C3 27 130.813Hz, to A3, 6888.61Hz 0x1ae9
Base: C3 27 130.813Hz, to A♯3, 7298.23Hz 0x1c82
Base: C3 27 130.813Hz, to B3, 7732.22Hz 0x1e34
Base: C3 27 130.813Hz, to C4, 8192Hz 0x2000
Base: C3 27 130.813Hz, to C♯4, 8679.12Hz 0x21e7
Base: C3 27 130.813Hz, to D4, 9195.2Hz 0x23eb
Base: C3 27 130.813Hz, to D♯4, 9741.97Hz 0x260e
Base: C3 27 130.813Hz, to E4, 10321.3Hz 0x2851
Base: C3 27 130.813Hz, to F4, 10935Hz 0x2ab7
Base: C3 27 130.813Hz, to F♯4, 11585.2Hz 0x2d41
Base: C3 27 130.813Hz, to G4, 12274.1Hz 0x2ff2
Base: C3 27 130.813Hz, to G♯4, 13004Hz 0x32cc
Base: C3 27 130.813Hz, to A4, 13777.2Hz 0x35d1
Base: C3 27 130.813Hz, to A♯4, 14596.5Hz 0x3904
Base: C3 27 130.813Hz, to B4, 15464.4Hz 0x3c68
Base: C3 27 130.813Hz, to C5, 16384Hz 0x3fff
Base: C♯3 28 138.591Hz, to A0, 812.751Hz 0x32d
Base: C♯3 28 138.591Hz, to A♯0, 861.079Hz 0x35d
Base: C♯3 28 138.591Hz, to B0, 912.282Hz 0x390
Base: C♯3 28 138.591Hz, to C1, 966.53Hz 0x3c7
Base: C♯3 28 138.591Hz, to C♯1, 1024Hz 0x400
Base: C♯3 28 138.591Hz, to D1, 1084.89Hz 0x43d
Base: C♯3 28 138.591Hz, to D♯1, 1149.4Hz 0x47d
Base: C♯3 28 138.591Hz, to E1, 1217.75Hz 0x4c2
Base: C♯3 28 138.591Hz, to F1, 1290.16Hz 0x50a
Base: C♯3 28 138.591Hz, to F♯1, 1366.88Hz 0x557
Base: C♯3 28 138.591Hz, to G1, 1448.16Hz 0x5a8
Base: C♯3 28 138.591Hz, to G♯1, 1534.27Hz 0x5fe
Base: C♯3 28 138.591Hz, to A1, 1625.5Hz 0x65a
Base: C♯3 28 138.591Hz, to A♯1, 1722.16Hz 0x6ba
Base: C♯3 28 138.591Hz, to B1, 1824.56Hz 0x721
Base: C♯3 28 138.591Hz, to C2, 1933.06Hz 0x78d
Base: C♯3 28 138.591Hz, to C♯2, 2048.01Hz 0x800
Base: C♯3 28 138.591Hz, to D2, 2169.79Hz 0x87a
Base: C♯3 28 138.591Hz, to D♯2, 2298.81Hz 0x8fb
Base: C♯3 28 138.591Hz, to E2, 2435.5Hz 0x984
Base: C♯3 28 138.591Hz, to F2, 2580.33Hz 0xa14
Base: C♯3 28 138.591Hz, to F♯2, 2733.76Hz 0xaae
Base: C♯3 28 138.591Hz, to G2, 2896.32Hz 0xb50
Base: C♯3 28 138.591Hz, to G♯2, 3068.53Hz 0xbfd
Base: C♯3 28 138.591Hz, to A2, 3251Hz 0xcb3
Base: C♯3 28 138.591Hz, to A♯2, 3444.32Hz 0xd74
Base: C♯3 28 138.591Hz, to B2, 3649.13Hz 0xe41
Base: C♯3 28 138.591Hz, to C3, 3866.12Hz 0xf1a
Base: C♯3 28 138.591Hz, to C♯3, 4096Hz 0x1000
Base: C♯3 28 138.591Hz, to D3, 4339.56Hz 0x10f4
Base: C♯3 28 138.591Hz, to D♯3, 4597.6Hz 0x11f6
Base: C♯3 28 138.591Hz, to E3, 4871.01Hz 0x1307
Base: C♯3 28 138.591Hz, to F3, 5160.64Hz 0x1429
Base: C♯3 28 138.591Hz, to F♯3, 5467.51Hz 0x155c
Base: C♯3 28 138.591Hz, to G3, 5792.64Hz 0x16a1
Base: C♯3 28 138.591Hz, to G♯3, 6137.07Hz 0x17f9
Base: C♯3 28 138.591Hz, to A3, 6502.01Hz 0x1966
Base: C♯3 28 138.591Hz, to A♯3, 6888.64Hz 0x1ae9
Base: C♯3 28 138.591Hz, to B3, 7298.27Hz 0x1c82
Base: C♯3 28 138.591Hz, to C4, 7732.25Hz 0x1e34
Base: C♯3 28 138.591Hz, to C♯4, 8192.03Hz 0x2000
Base: C♯3 28 138.591Hz, to D4, 8679.15Hz 0x21e7
Base: C♯3 28 138.591Hz, to D♯4, 9195.23Hz 0x23eb
Base: C♯3 28 138.591Hz, to E4, 9742.02Hz 0x260e
Base: C♯3 28 138.591Hz, to F4, 10321.3Hz 0x2851
Base: C♯3 28 138.591Hz, to F♯4, 10935Hz 0x2ab7
Base: C♯3 28 138.591Hz, to G4, 11585.3Hz 0x2d41
Base: C♯3 28 138.591Hz, to G♯4, 12274.2Hz 0x2ff2
Base: C♯3 28 138.591Hz, to A4, 13004Hz 0x32cc
Base: C♯3 28 138.591Hz, to A♯4, 13777.3Hz 0x35d1
Base: C♯3 28 138.591Hz, to B4, 14596.5Hz 0x3905
Base: C♯3 28 138.591Hz, to C5, 15464.5Hz 0x3c68
Base: C♯3 28 138.591Hz, to C♯5, 16384Hz 0x3fff
Base: D3 29 146.832Hz, to A0, 767.135Hz 0x2ff
Base: D3 29 146.832Hz, to A♯0, 812.75Hz 0x32d
Base: D3 29 146.832Hz, to B0, 861.08Hz 0x35d
Base: D3 29 146.832Hz, to C1, 912.283Hz 0x390
Base: D3 29 146.832Hz, to C♯1, 966.529Hz 0x3c7
Base: D3 29 146.832Hz, to D1, 1024Hz 0x400
Base: D3 29 146.832Hz, to D♯1, 1084.89Hz 0x43d
Base: D3 29 146.832Hz, to E1, 1149.4Hz 0x47d
Base: D3 29 146.832Hz, to F1, 1217.75Hz 0x4c2
Base: D3 29 146.832Hz, to F♯1, 1290.16Hz 0x50a
Base: D3 29 146.832Hz, to G1, 1366.88Hz 0x557
Base: D3 29 146.832Hz, to G♯1, 1448.16Hz 0x5a8
Base: D3 29 146.832Hz, to A1, 1534.27Hz 0x5fe
Base: D3 29 146.832Hz, to A♯1, 1625.5Hz 0x65a
Base: D3 29 146.832Hz, to B1, 1722.16Hz 0x6ba
Base: D3 29 146.832Hz, to C2, 1824.57Hz 0x721
Base: D3 29 146.832Hz, to C♯2, 1933.06Hz 0x78d
Base: D3 29 146.832Hz, to D2, 2048.01Hz 0x800
Base: D3 29 146.832Hz, to D♯2, 2169.78Hz 0x87a
Base: D3 29 146.832Hz, to E2, 2298.81Hz 0x8fb
Base: D3 29 146.832Hz, to F2, 2435.5Hz 0x984
Base: D3 29 146.832Hz, to F♯2, 2580.32Hz 0xa14
Base: D3 29 146.832Hz, to G2, 2733.76Hz 0xaae
Base: D3 29 146.832Hz, to G♯2, 2896.31Hz 0xb50
Base: D3 29 146.832Hz, to A2, 3068.54Hz 0xbfd
Base: D3 29 146.832Hz, to A♯2, 3251.01Hz 0xcb3
Base: D3 29 146.832Hz, to B2, 3444.33Hz 0xd74
Base: D3 29 146.832Hz, to C3, 3649.14Hz 0xe41
Base: D3 29 146.832Hz, to C♯3, 3866.11Hz 0xf1a
Base: D3 29 146.832Hz, to D3, 4096Hz 0x1000
Base: D3 29 146.832Hz, to D♯3, 4339.56Hz 0x10f4
Base: D3 29 146.832Hz, to E3, 4597.62Hz 0x11f6
Base: D3 29 146.832Hz, to F3, 4871Hz 0x1307
Base: D3 29 146.832Hz, to F♯3, 5160.64Hz 0x1429
Base: D3 29 146.832Hz, to G3, 5467.53Hz 0x155c
Base: D3 29 146.832Hz, to G♯3, 5792.62Hz 0x16a1
Base: D3 29 146.832Hz, to A3, 6137.08Hz 0x17f9
Base: D3 29 146.832Hz, to A♯3, 6502.02Hz 0x1966
Base: D3 29 146.832Hz, to B3, 6888.65Hz 0x1ae9
Base: D3 29 146.832Hz, to C4, 7298.27Hz 0x1c82
Base: D3 29 146.832Hz, to C♯4, 7732.25Hz 0x1e34
Base: D3 29 146.832Hz, to D4, 8192.03Hz 0x2000
Base: D3 29 146.832Hz, to D♯4, 8679.15Hz 0x21e7
Base: D3 29 146.832Hz, to E4, 9195.25Hz 0x23eb
Base: D3 29 146.832Hz, to F4, 9742Hz 0x260e
Base: D3 29 146.832Hz, to F♯4, 10321.3Hz 0x2851
Base: D3 29 146.832Hz, to G4, 10935Hz 0x2ab7
Base: D3 29 146.832Hz, to G♯4, 11585.3Hz 0x2d41
Base: D3 29 146.832Hz, to A4, 12274.2Hz 0x2ff2
Base: D3 29 146.832Hz, to A♯4, 13004Hz 0x32cc
Base: D3 29 146.832Hz, to B4, 13777.3Hz 0x35d1
Base: D3 29 146.832Hz, to C5, 14596.5Hz 0x3905
Base: D3 29 146.832Hz, to C♯5, 15464.5Hz 0x3c68
Base: D3 29 146.832Hz, to D5, 16384.1Hz 0x3fff
Base: D♯3 30 155.563Hz, to A0, 724.08Hz 0x2d4
Base: D♯3 30 155.563Hz, to A♯0, 767.135Hz 0x2ff
Base: D♯3 30 155.563Hz, to B0, 812.752Hz 0x32d
Base: D♯3 30 155.563Hz, to C1, 861.081Hz 0x35d
Base: D♯3 30 155.563Hz, to C♯1, 912.282Hz 0x390
Base: D♯3 30 155.563Hz, to D1, 966.53Hz 0x3c7
Base: D♯3 30 155.563Hz, to D♯1, 1024Hz 0x400
Base: D♯3 30 155.563Hz, to E1, 1084.89Hz 0x43d
Base: D♯3 30 155.563Hz, to F1, 1149.4Hz 0x47d
Base: D♯3 30 155.563Hz, to F♯1, 1217.75Hz 0x4c2
Base: D♯3 30 155.563Hz, to G1, 1290.16Hz 0x50a
Base: D♯3 30 155.563Hz, to G♯1, 1366.88Hz 0x557
Base: D♯3 30 155.563Hz, to A1, 1448.16Hz 0x5a8
Base: D♯3 30 155.563Hz, to A♯1, 1534.27Hz 0x5fe
Base: D♯3 30 155.563Hz, to B1, 1625.5Hz 0x65a
Base: D♯3 30 155.563Hz, to C2, 1722.16Hz 0x6ba
Base: D♯3 30 155.563Hz, to C♯2, 1824.57Hz 0x721
Base: D♯3 30 155.563Hz, to D2, 1933.06Hz 0x78d
Base: D♯3 30 155.563Hz, to D♯2, 2048.01Hz 0x800
Base: D♯3 30 155.563Hz, to E2, 2169.79Hz 0x87a
Base: D♯3 30 155.563Hz, to F2, 2298.81Hz 0x8fb
Base: D♯3 30 155.563Hz, to F♯2, 2435.5Hz 0x984
Base: D♯3 30 155.563Hz, to G2, 2580.33Hz 0xa14
Base: D♯3 30 155.563Hz, to G♯2, 2733.76Hz 0xaae
Base: D♯3 30 155.563Hz, to A2, 2896.32Hz 0xb50
Base: D♯3 30 155.563Hz, to A♯2, 3068.54Hz 0xbfd
Base: D♯3 30 155.563Hz, to B2, 3251.01Hz 0xcb3
Base: D♯3 30 155.563Hz, to C3, 3444.33Hz 0xd74
Base: D♯3 30 155.563Hz, to C♯3, 3649.12Hz 0xe41
Base: D♯3 30 155.563Hz, to D3, 3866.11Hz 0xf1a
Base: D♯3 30 155.563Hz, to D♯3, 4096Hz 0x1000
Base: D♯3 30 155.563Hz, to E3, 4339.58Hz 0x10f4
Base: D♯3 30 155.563Hz, to F3, 4597.62Hz 0x11f6
Base: D♯3 30 155.563Hz, to F♯3, 4871Hz 0x1307
Base: D♯3 30 155.563Hz, to G3, 5160.66Hz 0x1429
Base: D♯3 30 155.563Hz, to G♯3, 5467.51Hz 0x155c
Base: D♯3 30 155.563Hz, to A3, 5792.64Hz 0x16a1
Base: D♯3 30 155.563Hz, to A♯3, 6137.09Hz 0x17f9
Base: D♯3 30 155.563Hz, to B3, 6502.02Hz 0x1966
Base: D♯3 30 155.563Hz, to C4, 6888.66Hz 0x1ae9
Base: D♯3 30 155.563Hz, to C♯4, 7298.28Hz 0x1c82
Base: D♯3 30 155.563Hz, to D4, 7732.25Hz 0x1e34
Base: D♯3 30 155.563Hz, to D♯4, 8192.03Hz 0x2000
Base: D♯3 30 155.563Hz, to E4, 8679.16Hz 0x21e7
Base: D♯3 30 155.563Hz, to F4, 9195.23Hz 0x23eb
Base: D♯3 30 155.563Hz, to F♯4, 9742Hz 0x260e
Base: D♯3 30 155.563Hz, to G4, 10321.3Hz 0x2851
Base: D♯3 30 155.563Hz, to G♯4, 10935Hz 0x2ab7
Base: D♯3 30 155.563Hz, to A4, 11585.3Hz 0x2d41
Base: D♯3 30 155.563Hz, to A♯4, 12274.2Hz 0x2ff2
Base: D♯3 30 155.563Hz, to B4, 13004Hz 0x32cc
Base: D♯3 30 155.563Hz, to C5, 13777.3Hz 0x35d1
Base: D♯3 30 155.563Hz, to C♯5, 14596.5Hz 0x3905
Base: D♯3 30 155.563Hz, to D5, 15464.5Hz 0x3c68
Base: D♯3 30 155.563Hz, to D♯5, 16384.1Hz 0x3fff
Base: E3 31 164.814Hz, to A0, 683.437Hz 0x2ab
Base: E3 31 164.814Hz, to A♯0, 724.076Hz 0x2d4
Base: E3 31 164.814Hz, to B0, 767.132Hz 0x2ff
Base: E3 31 164.814Hz, to C1, 812.748Hz 0x32d
Base: E3 31 164.814Hz, to C♯1, 861.076Hz 0x35d
Base: E3 31 164.814Hz, to D1, 912.279Hz 0x390
Base: E3 31 164.814Hz, to D♯1, 966.527Hz 0x3c7
Base: E3 31 164.814Hz, to E1, 1024Hz 0x400
Base: E3 31 164.814Hz, to F1, 1084.89Hz 0x43d
Base: E3 31 164.814Hz, to F♯1, 1149.4Hz 0x47d
Base: E3 31 164.814Hz, to G1, 1217.75Hz 0x4c2
Base: E3 31 164.814Hz, to G♯1, 1290.16Hz 0x50a
Base: E3 31 164.814Hz, to A1, 1366.87Hz 0x557
Base: E3 31 164.814Hz, to A♯1, 1448.15Hz 0x5a8
Base: E3 31 164.814Hz, to B1, 1534.26Hz 0x5fe
Base: E3 31 164.814Hz, to C2, 1625.5Hz 0x659
Base: E3 31 164.814Hz, to C♯2, 1722.15Hz 0x6ba
Base: E3 31 164.814Hz, to D2, 1824.56Hz 0x721
Base: E3 31 164.814Hz, to D♯2, 1933.05Hz 0x78d
Base: E3 31 164.814Hz, to E2, 2048Hz 0x800
Base: E3 31 164.814Hz, to F2, 2169.78Hz 0x87a
Base: E3 31 164.814Hz, to F♯2, 2298.8Hz 0x8fb
Base: E3 31 164.814Hz, to G2, 2435.49Hz 0x983
Base: E3 31 164.814Hz, to G♯2, 2580.31Hz 0xa14
Base: E3 31 164.814Hz, to A2, 2733.75Hz 0xaae
Base: E3 31 164.814Hz, to A♯2, 2896.31Hz 0xb50
Base: E3 31 164.814Hz, to B2, 3068.53Hz 0xbfd
Base: E3 31 164.814Hz, to C3, 3251Hz 0xcb3
Base: E3 31 164.814Hz, to C♯3, 3444.3Hz 0xd74
Base: E3 31 164.814Hz, to D3, 3649.11Hz 0xe41
Base: E3 31 164.814Hz, to D♯3, 3866.09Hz 0xf1a
Base: E3 31 164.814Hz, to E3, 4096Hz 0x1000
Base: E3 31 164.814Hz, to F3, 4339.55Hz 0x10f4
Base: E3 31 164.814Hz, to F♯3, 4597.59Hz 0x11f6
Base: E3 31 164.814Hz, to G3, 4870.99Hz 0x1307
Base: E3 31 164.814Hz, to G♯3, 5160.62Hz 0x1429
Base: E3 31 164.814Hz, to A3, 5467.5Hz 0x155b
Base: E3 31 164.814Hz, to A♯3, 5792.61Hz 0x16a1
Base: E3 31 164.814Hz, to B3, 6137.07Hz 0x17f9
Base: E3 31 164.814Hz, to C4, 6502Hz 0x1966
Base: E3 31 164.814Hz, to C♯4, 6888.62Hz 0x1ae9
Base: E3 31 164.814Hz, to D4, 7298.24Hz 0x1c82
Base: E3 31 164.814Hz, to D♯4, 7732.21Hz 0x1e34
Base: E3 31 164.814Hz, to E4, 8192Hz 0x2000
Base: E3 31 164.814Hz, to F4, 8679.1Hz 0x21e7
Base: E3 31 164.814Hz, to F♯4, 9195.19Hz 0x23eb
Base: E3 31 164.814Hz, to G4, 9741.96Hz 0x260e
Base: E3 31 164.814Hz, to G♯4, 10321.3Hz 0x2851
Base: E3 31 164.814Hz, to A4, 10935Hz 0x2ab7
Base: E3 31 164.814Hz, to A♯4, 11585.2Hz 0x2d41
Base: E3 31 164.814Hz, to B4, 12274.1Hz 0x2ff2
Base: E3 31 164.814Hz, to C5, 13004Hz 0x32cc
Base: E3 31 164.814Hz, to C♯5, 13777.2Hz 0x35d1
Base: E3 31 164.814Hz, to D5, 14596.5Hz 0x3904
Base: E3 31 164.814Hz, to D♯5, 15464.4Hz 0x3c68
Base: E3 31 164.814Hz, to E5, 16384Hz 0x3fff
Base: F3 32 174.614Hz, to A0, 645.08Hz 0x285
Base: F3 32 174.614Hz, to A♯0, 683.438Hz 0x2ab
Base: F3 32 174.614Hz, to B0, 724.078Hz 0x2d4
Base: F3 32 174.614Hz, to C1, 767.134Hz 0x2ff
Base: F3 32 174.614Hz, to C♯1, 812.749Hz 0x32d
Base: F3 32 174.614Hz, to D1, 861.079Hz 0x35d
Base: F3 32 174.614Hz, to D♯1, 912.282Hz 0x390
Base: F3 32 174.614Hz, to E1, 966.527Hz 0x3c7
Base: F3 32 174.614Hz, to F1, 1024Hz 0x400
Base: F3 32 174.614Hz, to F♯1, 1084.89Hz 0x43d
Base: F3 32 174.614Hz, to G1, 1149.4Hz 0x47d
Base: F3 32 174.614Hz, to G♯1, 1217.75Hz 0x4c2
Base: F3 32 174.614Hz, to A1, 1290.16Hz 0x50a
Base: F3 32 174.614Hz, to A♯1, 1366.88Hz 0x557
Base: F3 32 174.614Hz, to B1, 1448.16Hz 0x5a8
Base: F3 32 174.614Hz, to C2, 1534.27Hz 0x5fe
Base: F3 32 174.614Hz, to C♯2, 1625.5Hz 0x65a
Base: F3 32 174.614Hz, to D2, 1722.16Hz 0x6ba
Base: F3 32 174.614Hz, to D♯2, 1824.56Hz 0x721
Base: F3 32 174.614Hz, to E2, 1933.06Hz 0x78d
Base: F3 32 174.614Hz, to F2, 2048Hz 0x800
Base: F3 32 174.614Hz, to F♯2, 2169.78Hz 0x87a
Base: F3 32 174.614Hz, to G2, 2298.8Hz 0x8fb
Base: F3 32 174.614Hz, to G♯2, 2435.49Hz 0x983
Base: F3 32 174.614Hz, to A2, 2580.32Hz 0xa14
Base: F3 32 174.614Hz, to A♯2, 2733.76Hz 0xaae
Base: F3 32 174.614Hz, to B2, 2896.32Hz 0xb50
Base: F3 32 174.614Hz, to C3, 3068.54Hz 0xbfd
Base: F3 32 174.614Hz, to C♯3, 3250.99Hz 0xcb3
Base: F3 32 174.614Hz, to D3, 3444.3Hz 0xd74
Base: F3 32 174.614Hz, to D♯3, 3649.11Hz 0xe41
Base: F3 32 174.614Hz, to E3, 3866.12Hz 0xf1a
Base: F3 32 174.614Hz, to F3, 4096Hz 0x1000
Base: F3 32 174.614Hz, to F♯3, 4339.56Hz 0x10f4
Base: F3 32 174.614Hz, to G3, 4597.61Hz 0x11f6
Base: F3 32 174.614Hz, to G♯3, 4870.99Hz 0x1307
Base: F3 32 174.614Hz, to A3, 5160.64Hz 0x1429
Base: F3 32 174.614Hz, to A♯3, 5467.51Hz 0x155c
Base: F3 32 174.614Hz, to B3, 5792.63Hz 0x16a1
Base: F3 32 174.614Hz, to C4, 6137.08Hz 0x17f9
Base: F3 32 174.614Hz, to C♯4, 6502.01Hz 0x1966
Base: F3 32 174.614Hz, to D4, 6888.63Hz 0x1ae9
Base: F3 32 174.614Hz, to D♯4, 7298.25Hz 0x1c82
Base: F3 32 174.614Hz, to E4, 7732.23Hz 0x1e34
Base: F3 32 174.614Hz, to F4, 8192Hz 0x2000
Base: F3 32 174.614Hz, to F♯4, 8679.12Hz 0x21e7
Base: F3 32 174.614Hz, to G4, 9195.21Hz 0x23eb
Base: F3 32 174.614Hz, to G♯4, 9742Hz 0x260e
Base: F3 32 174.614Hz, to A4, 10321.3Hz 0x2851
Base: F3 32 174.614Hz, to A♯4, 10935Hz 0x2ab7
Base: F3 32 174.614Hz, to B4, 11585.2Hz 0x2d41
Base: F3 32 174.614Hz, to C5, 12274.1Hz 0x2ff2
Base: F3 32 174.614Hz, to C♯5, 13004Hz 0x32cc
Base: F3 32 174.614Hz, to D5, 13777.3Hz 0x35d1
Base: F3 32 174.614Hz, to D♯5, 14596.5Hz 0x3904
Base: F3 32 174.614Hz, to E5, 15464.4Hz 0x3c68
Base: F3 32 174.614Hz, to F5, 16384Hz 0x3fff
Base: F♯3 33 184.997Hz, to A0, 608.875Hz 0x261
Base: F♯3 33 184.997Hz, to A♯0, 645.08Hz 0x285
Base: F♯3 33 184.997Hz, to B0, 683.439Hz 0x2ab
Base: F♯3 33 184.997Hz, to C1, 724.078Hz 0x2d4
Base: F♯3 33 184.997Hz, to C♯1, 767.133Hz 0x2ff
Base: F♯3 33 184.997Hz, to D1, 812.75Hz 0x32d
Base: F♯3 33 184.997Hz, to D♯1, 861.08Hz 0x35d
Base: F♯3 33 184.997Hz, to E1, 912.28Hz 0x390
Base: F♯3 33 184.997Hz, to F1, 966.528Hz 0x3c7
Base: F♯3 33 184.997Hz, to F♯1, 1024Hz 0x400
Base: F♯3 33 184.997Hz, to G1, 1084.89Hz 0x43d
Base: F♯3 33 184.997Hz, to G♯1, 1149.4Hz 0x47d
Base: F♯3 33 184.997Hz, to A1, 1217.75Hz 0x4c2
Base: F♯3 33 184.997Hz, to A♯1, 1290.16Hz 0x50a
Base: F♯3 33 184.997Hz, to B1, 1366.88Hz 0x557
Base: F♯3 33 184.997Hz, to C2, 1448.16Hz 0x5a8
Base: F♯3 33 184.997Hz, to C♯2, 1534.27Hz 0x5fe
